timestep,reward,distance,control_cost
1000,-506.4747,-0.2272,501.6543
2000,405.3183,2.1939,554.8671
3000,55.0613,-0.7506,551.3436
4000,93.2748,6.6177,522.6491
5000,412.7397,3.6995,492.4050
6000,540.4158,3.1960,448.0933
7000,546.8102,1.7959,441.0845
8000,435.3075,2.1845,492.6059
9000,584.3158,21.0531,538.1875
10000,328.5055,-0.7173,538.1998
11000,363.6280,1.8675,541.8843
12000,686.9807,20.4121,541.1652
13000,799.6882,24.4491,544.8195
14000,603.3507,22.8384,544.3154
15000,424.3052,17.0883,548.6813
16000,49.5629,24.9263,546.7219
17000,-80.9559,23.3077,546.3927
18000,-45.5351,23.2651,547.0194
19000,873.4018,28.0072,549.0288
20000,-5.3081,27.1902,547.8375
21000,752.0034,24.7482,550.0369
22000,798.6636,28.5186,549.0659
23000,-390.4119,0.0419,551.9166
24000,293.7943,3.7317,552.7304
25000,93.8904,0.2339,551.7710
26000,513.2290,14.7119,550.5796
27000,236.0033,-0.5340,552.7703
28000,408.9237,8.4708,550.5943
29000,339.2637,32.1876,547.7872
30000,596.0038,27.2197,550.0668
31000,346.2637,19.2576,550.6862
32000,761.3423,27.0953,551.2567
33000,-58.4810,24.5062,550.1908
34000,768.7317,34.6450,548.9230
35000,1104.5117,40.0258,552.6458
36000,1147.2219,37.0248,551.4864
37000,1033.5662,37.6207,552.8245
38000,919.5365,30.9049,551.4618
39000,1166.3487,39.0712,551.8116
40000,822.5225,37.5732,552.4351
41000,1325.3558,45.8273,553.9279
42000,1276.2942,46.5681,552.6297
43000,1342.1239,47.0118,553.7688
44000,1329.8465,47.0952,552.6184
45000,1276.4973,46.8647,554.2440
46000,1277.9021,43.9839,551.8156
47000,1270.3775,45.6984,552.3901
48000,1124.0543,38.2668,551.7900
49000,1182.6795,40.1238,552.8810
50000,1198.6439,40.6778,550.8506
51000,123.1865,-6.7306,553.7351
52000,1271.4610,45.0999,553.3204
53000,1293.7020,45.3901,554.3551
54000,1292.7490,48.9037,553.7982
55000,1366.8716,49.1603,554.5834
56000,1424.3614,52.0054,551.7688
57000,1374.4443,49.2340,555.2780
58000,1366.7336,47.9505,553.3529
59000,1212.4829,42.7396,552.0983
60000,1391.7626,50.9391,554.1927
61000,1217.0455,42.4496,553.8471
62000,1316.2209,46.5466,553.0212
63000,1343.8853,48.1247,554.1403
64000,1321.6096,46.2856,553.4541
65000,1399.8870,50.9748,553.6022
66000,1336.9283,48.9483,553.6527
67000,762.2133,24.0096,552.4871
68000,1410.1881,50.5980,552.9313
69000,1334.6677,49.4082,553.5839
70000,1196.9950,43.7220,554.3651
71000,1409.2275,52.8378,554.4942
72000,1276.5697,46.6152,553.7676
73000,1294.7616,49.0004,554.6203
74000,1239.0591,43.3420,552.1255
75000,1359.0617,51.3201,554.1194
76000,1433.6680,53.1955,555.6142
77000,1284.8448,48.2386,554.9645
78000,1453.8190,53.6769,552.5836
79000,1340.8917,48.1726,552.0018
80000,1437.9322,52.5110,552.9646
81000,1232.2260,47.9498,552.5350
82000,800.4938,26.7901,551.9478
83000,1345.7412,51.5961,552.7954
84000,1457.3510,53.1011,553.2413
85000,1398.5748,52.9257,551.6040
86000,1672.9519,63.8821,553.3429
87000,1493.1938,54.9151,552.5698
88000,1374.2499,54.6492,551.4320
89000,1538.3564,60.3128,554.1403
90000,1560.6523,58.4242,553.4815
91000,1596.9321,62.3052,553.0843
92000,1630.1431,62.4067,553.2566
93000,1410.2605,56.3048,553.9327
94000,1683.8671,64.0838,552.9781
95000,1503.4943,57.7027,553.3457
96000,1678.9823,65.7761,555.5038
97000,1428.9528,53.3705,552.8872
98000,1623.6678,62.2256,553.7996
99000,1696.7642,65.6634,555.4181
100000,1864.7632,73.2093,554.9783
101000,1735.9503,67.4105,553.0675
102000,1757.9958,69.0724,555.1719
103000,1775.7088,68.8171,554.8687
104000,1661.2730,64.1281,554.9241
105000,1778.2647,70.1179,554.8431
106000,1680.9645,67.2576,552.7436
107000,1756.3714,68.2720,554.0612
108000,1817.4875,73.7220,553.9119
109000,1701.1001,66.3933,554.4839
110000,1703.0589,64.8466,553.9407
111000,1696.6153,64.6973,553.8560
112000,1793.1445,69.7511,553.4696
113000,1667.8802,64.6651,554.8518
114000,1727.4333,67.6224,554.6250
115000,1851.8276,72.5121,554.4461
116000,1714.0670,66.9380,553.8599
117000,1707.9978,66.4411,554.3698
118000,1641.1223,63.5822,552.3794
119000,1575.6644,59.0062,553.8202
120000,1738.4714,67.8333,551.6486
121000,1694.6121,64.6697,553.2602
122000,1446.0582,54.1764,553.5080
123000,1708.3313,65.1452,553.7149
124000,1772.9486,68.2662,553.9501
125000,1824.4226,71.3456,555.4225
126000,1862.8089,72.8506,555.0237
127000,1745.2526,67.4470,554.1383
128000,1827.4155,72.0558,554.8470
129000,1798.3529,70.0053,554.4057
130000,1461.6312,58.5426,554.0787
131000,666.5805,31.0954,555.2954
132000,1778.3323,69.7458,554.4749
133000,1840.0996,73.9765,553.5328
134000,1827.6870,72.4741,556.2506
135000,1655.6937,67.8602,554.2520
136000,1759.9992,68.7833,554.4179
137000,1772.7070,72.0173,553.9847
138000,1784.9906,70.4995,555.0969
139000,1760.4570,70.6756,553.5594
140000,1782.0698,70.2009,554.1667
141000,1761.0181,68.0294,555.1361
142000,1669.9745,66.6490,555.4177
143000,1827.7201,70.9652,553.2316
144000,1795.7973,70.9248,554.3329
145000,1718.6555,66.7409,555.2897
146000,1807.3720,71.2487,554.2811
