timestep,reward,distance,control_cost
1000,-503.2708,-0.5671,491.2474
2000,-15.4077,15.9437,527.7251
3000,448.1431,3.0852,549.3570
4000,447.9338,2.3741,552.5479
5000,351.0870,6.1350,531.7724
6000,547.3017,6.5905,531.2379
7000,511.6250,4.5114,526.8758
8000,406.9305,9.0382,539.7412
9000,138.6842,10.4873,534.1765
10000,555.2051,6.9269,546.0233
11000,637.4355,12.1152,546.6309
12000,680.5710,13.1920,547.5411
13000,1007.1581,32.5528,553.2023
14000,1265.3184,43.8634,553.4936
15000,1036.5695,41.7125,552.3137
16000,429.0731,28.2723,548.8805
17000,1156.7169,38.7340,553.0666
18000,1423.7141,52.5837,555.9801
19000,-170.1364,17.1548,549.6154
20000,1039.9891,36.5086,551.5693
21000,1259.6225,43.4976,553.8032
22000,851.8472,30.2115,551.9214
23000,1370.0277,49.1849,553.0736
24000,596.1600,34.6514,553.9931
25000,1175.8192,49.2628,552.4373
26000,1526.7555,58.1616,552.7350
27000,756.9712,41.3714,551.1269
28000,1455.1392,60.3994,554.4824
29000,1507.2036,57.0838,554.3082
30000,987.3044,39.7495,553.4990
31000,1528.9405,61.2348,554.1301
32000,1847.0112,72.3327,555.7287
33000,1770.2426,69.9466,554.0627
34000,-385.6236,4.8253,549.7401
35000,-1245.7764,-34.6605,552.4563
36000,-1272.2353,-36.0375,551.4314
37000,-529.5786,0.9615,552.0430
38000,-349.4370,4.5701,550.7844
39000,1103.3075,49.1445,554.8475
40000,1567.3570,60.0046,553.6300
41000,1360.1001,58.2813,554.8294
42000,1688.4576,65.7868,555.5354
43000,1820.9297,72.0919,553.7128
44000,1441.0409,59.1508,551.3331
45000,1782.2866,69.5305,555.2199
46000,1711.9894,68.9436,555.4567
47000,1596.1277,64.0374,553.2014
48000,1584.5614,63.9613,555.9338
49000,1581.1627,62.7306,554.4014
50000,1807.9099,69.8220,554.1985
51000,1781.6245,68.8845,553.6906
52000,1824.0329,71.1783,552.7346
53000,1642.1136,65.2625,553.7004
54000,1669.4629,65.1201,555.5265
55000,1461.1579,53.2780,552.7386
56000,1462.6638,54.0997,552.5974
57000,1323.6390,46.9068,553.8440
58000,1526.7061,56.8615,554.3430
59000,1843.6685,71.5981,555.2952
60000,1725.6931,67.8425,553.7310
61000,1603.4965,62.3328,554.3091
62000,1762.6903,68.2060,553.3505
63000,1678.1761,68.2949,552.5196
64000,1767.5216,70.5955,553.9751
65000,1679.9068,68.8161,553.8132
66000,1085.1927,50.1149,553.8326
67000,1727.6409,68.0871,553.5850
68000,1882.6583,76.1551,553.3290
69000,1787.6381,70.2869,553.8887
70000,1724.9897,69.3113,553.7742
71000,1796.3562,71.8810,555.0967
72000,1887.0723,74.4543,554.7326
73000,1844.7000,72.9239,552.8367
74000,1739.8219,66.6477,551.9273
75000,1882.5417,73.6269,554.1952
76000,1845.1322,71.7419,554.1089
77000,1853.5674,72.3409,554.5470
78000,1757.1178,68.4593,555.9390
79000,989.9275,29.3288,553.5244
80000,1545.8176,57.2032,553.6855
81000,-280.5009,13.4513,551.1900
82000,1162.5443,51.7272,554.3310
83000,1376.2617,60.0645,553.7746
84000,1890.2790,74.7731,554.1836
85000,1836.2124,73.2177,553.9719
86000,1816.2561,71.1992,552.8782
87000,1809.8458,72.5779,554.8742
88000,1752.8622,71.6848,554.1738
89000,1577.0506,64.9410,553.3269
90000,1488.1348,57.5021,552.6990
91000,1790.2830,72.6444,554.5124
92000,1830.7411,71.0816,555.1390
93000,1863.8424,72.7106,552.6162
94000,1852.6871,74.0463,553.5299
95000,1854.3012,72.6532,554.7980
96000,1513.7498,62.8655,553.2494
97000,1938.4961,76.7935,554.2394
98000,1828.7054,73.1142,555.3487
99000,1912.0115,75.1546,553.0420
100000,1857.6069,72.4544,554.2914
101000,1867.9149,72.8523,552.9320
102000,1851.6741,72.0464,553.8063
103000,1826.4154,70.8393,554.3153
104000,1921.3552,76.4583,555.0570
105000,1914.7614,75.1611,554.1412
106000,1935.1680,76.1546,552.7124
107000,1926.5955,75.9333,555.6124
108000,1886.4309,73.7441,553.5846
109000,1863.0665,72.6884,554.4387
110000,1862.4323,72.7102,553.4070
111000,1886.6037,74.4945,554.7920
112000,1833.6792,73.4037,554.4666
113000,1960.8974,77.7828,553.7951
114000,1877.3072,73.3635,554.6508
115000,1788.0179,69.3163,554.4348
116000,1822.0168,70.6669,554.0365
117000,1936.4763,76.9169,554.2001
118000,1833.1381,71.7004,553.9071
119000,1900.6200,74.6321,554.3750
120000,1749.1114,68.0320,553.9653
121000,1642.5258,62.4607,555.2996
122000,1693.4040,67.0270,553.6387
123000,1786.6299,69.8121,555.2704
124000,1943.4232,76.9865,554.9325
125000,1714.0334,68.4015,554.1370
126000,1898.0758,74.6459,556.1139
127000,1934.0635,77.0239,553.9351
128000,1802.1962,69.8334,553.1580
129000,1680.7517,66.1183,552.9727
130000,1816.5968,71.0669,553.2077
131000,1835.5591,71.2874,553.1952
132000,1815.7097,70.4706,553.5486
133000,1693.7465,64.3659,553.1914
134000,1901.3733,74.5617,553.7626
135000,1836.7043,73.3094,553.9974
136000,1647.0485,65.9467,549.6821
137000,1896.6534,74.0846,549.7122
138000,1851.5234,71.7855,546.9160
139000,1880.1998,73.5755,549.7495
140000,2006.3334,79.8082,549.2939
141000,1839.3458,72.0173,549.5726
142000,1922.1658,75.3011,548.0032
143000,2003.8026,79.3968,546.7337
144000,1804.6763,70.3685,548.9478
145000,1979.6209,78.8848,548.6351
146000,1950.5894,77.0558,549.0946
147000,1919.7042,75.5970,548.1716
148000,1849.0622,72.5354,550.0666
149000,820.8851,25.7608,554.9671
150000,1905.8740,75.2590,547.6299
151000,1923.3573,75.6341,549.5350
152000,1873.1084,73.6867,549.8841
153000,1925.9029,75.8943,548.8360
154000,1970.3780,77.8792,548.5056
155000,1938.1591,76.1593,548.4204
156000,1907.7660,75.1516,547.5267
157000,2016.2220,80.0618,549.6898
158000,2020.5767,80.1013,546.9107
159000,1916.9752,75.1111,546.6816
160000,1853.7046,72.0533,548.1890
161000,1764.7851,67.8559,547.8188
162000,1872.6426,75.0342,548.1815
163000,1902.2512,74.5176,546.8938
164000,1977.3377,78.0132,547.8525
165000,1936.2344,75.8392,547.9764
166000,1876.3033,72.9935,548.1721
167000,1979.4672,78.1572,546.9919
168000,1999.9023,79.0909,547.5585
169000,2008.7895,79.8784,547.6361
170000,1944.8942,76.3438,547.6535
171000,1932.8602,76.0585,546.4956
172000,2028.9142,80.5919,546.1707
173000,1944.6424,76.4624,547.8709
174000,2008.3041,79.6100,549.1721
175000,1991.5190,78.7378,547.7021
176000,1924.4188,75.5098,548.6415
177000,1924.8925,75.4303,547.5530
178000,1954.9114,77.1903,547.2252
179000,2003.0988,79.5383,547.6943
180000,2043.5095,81.3027,546.4381
181000,2047.3314,81.6532,547.7941
182000,1995.8885,78.9882,547.9239
183000,2036.1349,81.1917,548.0925
184000,2017.4815,80.1650,548.5492
185000,-486.5902,3.0783,554.0849
186000,459.2022,4.4120,552.1429
187000,2025.5188,80.6538,547.4003
188000,1991.6218,78.9417,548.5016
189000,1975.5108,78.8829,548.4508
190000,2034.5396,81.2401,548.5732
191000,1983.0236,78.4806,546.5832
192000,1954.1031,77.0673,549.8080
193000,1967.7622,77.9636,549.3412
194000,2014.8298,80.2093,550.3794
195000,1972.2172,78.0406,547.3117
196000,2027.5707,80.8117,549.1089
197000,2090.3473,83.9282,548.2532
198000,2001.1459,79.5094,549.4984
199000,2041.8295,81.5714,548.8274
200000,1920.3478,75.5856,550.6325
201000,1918.1660,75.4589,548.8394
202000,1089.7311,36.3678,554.0663
203000,2034.0377,81.0475,548.1808
204000,1303.1320,47.8775,552.0840
