timestep,reward,distance,control_cost
1000,-451.0043,2.0887,490.8766
2000,-441.7133,4.0061,523.4296
3000,-66.2233,22.8286,520.9805
4000,160.3006,34.7641,534.8507
5000,-365.1477,8.3842,531.7620
6000,238.9148,38.8928,538.9772
7000,211.4621,37.0184,529.2458
8000,253.3600,39.5428,536.0371
9000,133.7263,33.2868,530.1443
10000,-61.5998,23.5063,530.3799
11000,-71.5783,23.0174,531.9300
12000,159.2632,34.8574,537.9712
13000,331.1615,43.6559,541.8088
14000,318.9633,42.8636,540.1510
15000,140.3872,33.8457,537.1565
16000,208.3101,37.3123,536.8492
17000,280.0158,41.1026,540.7800
18000,291.0150,41.5163,537.8142
19000,242.8246,39.0694,538.2736
20000,138.4159,33.9423,539.2166
21000,-9.1967,26.5545,538.5525
22000,-95.4211,22.2060,538.0370
23000,234.3277,38.6905,540.3469
24000,134.6209,33.8360,541.2354
25000,-184.9785,17.8107,541.2509
26000,-50.6487,24.4266,538.9336
27000,-531.4377,0.8452,549.9059
28000,253.3053,39.7143,540.7601
29000,305.8474,42.5123,542.6928
30000,-68.6647,23.7369,542.0676
31000,393.4019,46.8065,542.0942
32000,194.9740,36.9985,543.7444
33000,353.0637,45.1603,548.3934
34000,114.5408,33.0266,544.1604
35000,272.0804,40.9688,546.5750
36000,492.0445,51.8822,547.0153
37000,-464.6698,4.2144,550.4450
38000,420.0933,48.2924,547.4436
39000,340.3400,44.5413,548.7029
40000,-321.2230,11.3200,548.8235
41000,476.1168,51.2419,547.3401
42000,-346.1989,10.1442,550.8024
43000,-386.1722,8.0837,549.3752
44000,489.2357,51.9197,547.5242
45000,105.6701,32.6933,549.3828
46000,885.4196,71.6765,546.9568
47000,-300.5552,12.3907,548.7986
48000,320.6392,43.5754,549.3027
49000,-502.0052,2.5107,552.8951
50000,97.6421,32.1567,547.3739
51000,378.9115,46.3510,547.6569
52000,877.3443,71.3622,549.2804
53000,424.8275,48.6662,548.4156
54000,-89.3860,22.8243,547.0433
55000,-130.6675,20.9144,549.5792
56000,-84.2890,23.3712,549.7702
57000,-365.7024,9.3728,551.7749
58000,-79.1047,23.6399,550.3222
59000,-238.1687,15.5776,550.8507
60000,-48.2461,25.1093,551.4757
61000,-338.9283,10.8342,553.6220
62000,-625.1976,-3.5071,553.1480
63000,-338.5231,10.6384,552.2957
64000,-500.8248,2.6416,552.4241
65000,-247.9476,15.1515,551.4128
66000,-459.5505,4.7050,551.8502
67000,-242.1069,15.5494,551.3188
68000,-291.8427,13.0306,552.3887
69000,-322.9511,11.3599,550.0522
70000,-418.9680,6.6489,551.3198
71000,-457.6714,4.6550,552.6848
72000,-505.5749,2.3387,552.3504
73000,-145.2312,20.3934,551.3573
74000,-212.6718,17.0520,552.2824
75000,-281.3457,13.5405,553.5555
76000,-522.4008,1.5882,552.7712
77000,-84.7046,23.3517,553.2106
78000,-246.7750,15.3398,552.6337
79000,-322.0938,11.5123,552.6966
80000,-159.6553,19.6534,552.3806
81000,-73.3284,23.8939,551.2621
82000,-380.9336,8.3892,550.6822
83000,55.6067,30.3832,552.5004
84000,-6.4968,27.2054,552.2641
85000,-22.0976,26.5932,552.3600
86000,-131.9848,20.8744,550.5939
87000,71.5492,31.2881,552.6771
88000,1278.5372,91.5037,550.9052
89000,246.6487,39.8847,551.7532
90000,-40.8595,25.6612,552.7811
