timestep,reward,distance,control_cost
1000,147.1209,9.7593,510.5777
2000,476.3339,34.1133,553.2571
3000,548.1505,36.2488,550.1002
4000,1504.1421,83.5456,551.0340
5000,1949.7525,105.3890,551.8709
6000,1916.5897,102.8690,552.3356
7000,1929.4271,103.6618,549.5862
8000,1363.6358,75.8259,548.6460
9000,1190.5866,67.6086,549.5360
10000,1742.5387,95.3998,549.2792
11000,1627.8451,89.6568,548.9553
12000,1887.9982,102.3288,550.1787
13000,806.7655,39.5915,550.3397
14000,1828.8288,98.6063,550.0443
15000,1517.4930,83.9922,546.2098
16000,1660.1038,91.3241,549.3199
17000,1401.7927,77.3552,547.7215
18000,1792.9850,95.5462,548.8016
19000,1721.4685,92.9257,549.7810
20000,1633.7104,89.0097,549.3685
21000,1975.9118,106.2495,550.2638
22000,1912.6896,102.6991,551.3512
23000,1974.0772,106.8642,549.6030
24000,1959.3865,105.2205,551.7490
25000,1883.7997,102.4518,549.8922
26000,1659.0189,90.6749,549.3020
27000,1907.4241,101.7079,549.9688
28000,1544.5582,85.6402,550.3544
29000,396.4602,12.0648,553.9049
30000,1986.7889,107.8388,550.8087
31000,1851.2306,100.8511,549.5825
32000,1819.1657,99.3345,550.0677
33000,1701.1515,92.7831,547.6387
34000,2038.4289,110.1619,551.0304
35000,2095.2327,111.9617,549.2757
36000,1475.1803,81.3166,549.3923
37000,1996.5305,106.4819,551.9534
38000,1924.1823,103.7572,550.8363
39000,2033.7850,109.1572,550.2523
40000,2245.3774,119.9603,550.1645
41000,2071.0309,111.4055,549.9714
42000,1921.7741,104.9628,551.3929
43000,2106.2741,113.6585,550.5016
44000,1304.3487,66.5244,549.7963
45000,2090.9705,112.5425,549.3291
46000,2111.9027,113.5611,549.6568
47000,2353.2128,125.1743,551.4072
48000,2245.8217,120.1835,551.7467
49000,2218.6681,119.7796,548.6703
50000,2224.7757,119.2927,550.6138
51000,2207.2649,118.5089,552.9515
52000,2211.2014,118.0087,549.9956
53000,2311.9489,124.0329,551.4046
54000,2135.0193,115.9205,549.6768
55000,2344.4762,125.3849,551.9469
56000,2230.4303,119.9636,551.6585
57000,1453.4840,76.1444,549.4798
58000,2339.6128,125.9599,553.3616
59000,2078.4955,113.1873,549.9176
60000,2494.2552,132.6270,552.3363
61000,2192.7249,118.6947,552.0655
62000,2449.9140,130.2744,550.4917
63000,2325.7273,124.2423,550.3827
64000,2302.2201,123.0065,549.8572
65000,2416.7984,128.9646,550.3988
66000,2427.9266,129.5983,551.8737
67000,963.0172,47.0388,550.6619
68000,2386.1327,126.7272,551.6961
69000,2709.8022,143.2681,551.4785
70000,2408.5028,127.9297,551.9525
71000,2442.3230,129.9133,551.6763
72000,2509.3903,133.0543,551.8899
73000,2328.0149,124.8256,550.9867
74000,2605.4689,137.7076,550.9624
75000,2647.3681,140.6105,551.4523
76000,2429.2961,129.4877,550.7536
77000,2534.7934,134.4307,550.7525
78000,2556.7612,136.7081,552.6825
79000,2597.6521,138.3076,549.5700
80000,2562.2020,136.1597,551.9278
81000,2264.2327,121.7319,550.9923
82000,2634.1139,139.8803,551.9804
83000,2683.1997,141.7630,551.1755
84000,2443.6081,130.1227,550.8812
85000,2583.2126,137.7649,551.7503
86000,2599.6710,137.8692,551.6895
87000,2464.1761,130.5002,550.8225
88000,2653.0865,140.9146,551.6509
89000,2469.5742,131.3144,552.1285
90000,2622.3762,140.0987,550.0329
91000,2702.0341,143.4157,551.2128
92000,2730.9771,144.2191,551.1628
93000,2799.3388,148.0488,552.9288
94000,2352.3798,126.6124,550.4114
95000,1992.2081,103.6369,551.3459
96000,2683.0916,142.5554,552.0600
97000,2758.1760,145.8663,552.0830
98000,2361.2631,124.5785,552.1925
99000,2419.4312,130.2928,551.7249
100000,2806.9113,148.6605,554.1347
101000,2760.6806,146.2369,552.0221
102000,2863.2988,151.3857,552.2166
103000,2603.8902,137.7291,553.9563
104000,2722.0570,143.7977,550.9087
105000,2797.5414,147.2783,551.8616
106000,2626.8656,139.9065,551.8507
107000,2959.2183,156.0341,553.8951
108000,2982.4870,155.7788,550.9998
109000,2681.7316,142.4522,551.7641
110000,2299.5403,125.0613,552.0262
111000,2867.3446,152.1355,550.0804
112000,2916.9719,153.0923,553.0584
113000,2778.8467,147.7299,552.7369
114000,2957.2752,155.0786,552.2983
115000,2822.8833,149.4729,551.6922
116000,2915.5439,153.5192,552.8136
117000,2923.5933,153.8441,551.0547
118000,2892.5061,152.0994,550.1794
119000,3203.9581,167.4693,552.0305
120000,3066.5982,160.8323,550.4207
121000,598.6021,23.5667,554.0533
122000,2594.5480,136.7666,550.7715
123000,2077.3211,107.5506,551.3001
124000,2887.3205,152.1453,552.9945
125000,3278.8745,170.3933,554.1644
126000,3157.4639,165.7264,551.4729
127000,3196.0927,168.2351,552.2816
128000,3372.1128,175.4875,552.2723
129000,3029.9734,159.7215,551.9379
130000,3028.2266,159.6146,552.5270
131000,3202.2035,167.6117,550.8526
132000,3155.9446,165.5656,550.8242
133000,3127.7489,163.8471,551.9584
134000,3197.9982,167.5560,551.4519
135000,3247.0875,170.2552,552.3873
136000,2868.5445,151.4005,552.5381
137000,3439.1770,178.8319,551.3078
138000,3190.4676,167.0574,550.9711
139000,3163.8766,165.9618,549.9446
140000,153.1492,2.1074,553.1759
141000,3255.8700,170.2481,549.4383
142000,3323.2093,173.0645,550.8454
143000,3244.0962,170.2869,552.1164
144000,2943.4307,153.6207,551.7895
145000,3267.0803,171.3356,550.2743
146000,3408.8472,177.6041,551.4709
147000,3303.3494,172.8923,552.8686
148000,3242.5426,169.7973,550.2614
149000,3617.2756,187.5970,548.5911
150000,3216.4768,168.7090,550.1897
151000,3602.5484,187.8186,550.1093
152000,2411.7146,121.9321,549.0812
153000,796.0510,35.2558,551.8871
154000,3579.9760,185.3572,548.0081
155000,3896.2801,201.4230,546.4783
156000,3264.9521,168.7715,549.0323
157000,4122.5559,212.5369,542.5272
158000,4003.2842,206.3789,543.1460
