timestep,reward,distance,control_cost
1000,29.9764,-1.3917,470.3575
2000,-53.5902,-0.7598,551.0710
3000,-108.5568,-0.5323,549.1586
4000,1.6133,-0.0478,555.1945
5000,9.0658,0.2636,554.9322
6000,-42.3617,0.4732,553.7194
7000,184.4941,0.3244,550.9616
8000,-157.7625,-3.8206,547.7922
9000,-117.8453,-0.8705,549.6403
10000,-157.0811,1.8028,547.6599
11000,-24.0667,2.1107,552.7523
12000,-74.5599,1.8901,548.6921
13000,-157.1822,3.7174,551.1233
14000,-76.7261,6.2116,547.3560
15000,153.9674,16.8685,544.3581
16000,756.7479,47.6108,550.2658
17000,498.9448,19.4739,553.4268
18000,-223.8209,-16.4946,551.0773
19000,-115.9523,-6.4444,550.2312
20000,306.1029,19.8824,550.9722
21000,289.5384,12.2582,550.2647
22000,194.3334,3.9007,547.9915
23000,699.4481,37.1300,549.3247
24000,235.1671,1.1302,555.0098
25000,140.9081,8.3468,545.7173
26000,82.7293,-1.2919,547.2137
27000,-73.9897,-8.2403,548.4908
28000,592.7996,31.6280,548.0391
29000,-54.6141,-8.4055,548.3720
30000,64.0150,-4.5342,548.8341
31000,196.8833,13.4371,546.1970
32000,536.3653,35.9845,545.3255
33000,5.5555,-4.6717,547.7283
34000,812.5375,49.9758,548.3566
35000,393.8913,16.9520,551.7656
36000,353.6096,21.5763,548.3256
37000,418.0894,16.5367,548.8707
38000,107.9729,-0.3632,547.9557
39000,183.5098,3.9869,548.9380
40000,359.0529,17.8851,550.2684
41000,164.8717,2.8595,549.8703
42000,89.5387,-0.0988,548.5234
43000,869.0816,52.5627,548.8279
44000,563.3696,28.8113,550.0754
45000,726.3936,44.5604,550.6933
46000,416.9828,18.2153,549.5598
47000,151.9200,1.5953,549.9221
48000,760.1230,41.2370,549.4161
49000,559.8975,26.1798,548.7135
50000,981.7979,55.2917,550.3593
51000,1036.0047,58.1940,549.6011
52000,1182.4135,68.6539,550.3984
53000,1187.1243,61.9121,551.3841
54000,552.5560,29.1821,551.3497
55000,434.8841,18.3548,549.1445
56000,713.7116,35.1484,552.2900
57000,629.8520,33.9404,550.6901
58000,340.5511,15.7886,551.5033
59000,976.3166,57.7509,552.4109
60000,1357.8804,76.6711,552.1631
61000,1487.8183,83.4411,550.5219
62000,981.5715,54.5193,552.2980
63000,858.6697,44.1914,551.1510
64000,1318.1524,69.9061,552.1343
65000,350.1841,11.2981,553.2407
66000,491.4528,16.9083,553.4533
67000,400.5191,15.8750,550.7338
68000,31.9259,4.6388,554.4440
69000,999.1873,51.9874,551.5330
70000,516.5873,22.6519,553.0589
71000,2026.1416,111.3411,552.9442
72000,384.8578,24.8244,553.6689
73000,1813.2540,99.4736,551.4533
74000,1294.2624,69.4839,551.4605
75000,1058.6524,55.1314,551.6759
76000,1655.1711,86.8287,552.5637
77000,81.5726,9.0402,553.4542
78000,286.1627,29.6880,553.9916
79000,1673.8620,93.3209,552.0366
80000,339.7390,12.5039,553.5462
81000,431.3428,22.2991,549.4257
82000,786.3627,40.5999,552.9801
83000,1423.9621,76.6078,552.6448
84000,1090.4767,59.9114,550.3108
85000,2269.2936,122.7058,553.1444
86000,2022.9610,109.7719,551.3502
87000,1457.1338,84.0401,552.3678
88000,1860.9457,103.3607,551.1820
89000,1725.0093,95.4990,551.6471
90000,1161.5068,61.8033,551.8710
91000,2004.9005,110.4859,552.4048
92000,2086.1999,114.3095,552.1612
93000,2362.2757,126.7910,550.6625
94000,496.9443,20.2364,554.4284
95000,2130.8194,116.3165,552.5926
