timestep,reward,distance,control_cost
1000,-290.0254,-0.9176,504.4516
2000,-394.4050,-3.0222,548.4493
3000,-390.5461,-2.2965,546.2742
4000,-274.8884,3.3009,544.6785
5000,-203.4889,6.3670,543.7947
6000,47.1937,18.2154,546.5522
7000,-148.0144,8.5102,545.9484
8000,-240.5187,4.4609,539.9425
9000,-577.3206,-11.9431,540.1519
10000,-87.3642,11.9395,539.8542
11000,-383.6529,-3.9344,549.9092
12000,143.4227,23.8346,541.8841
13000,-139.5865,10.0966,539.0917
14000,-71.6649,13.1342,542.9144
15000,85.8387,20.6542,544.2098
16000,-254.9240,3.5590,538.6304
17000,-167.7834,8.1628,541.6384
18000,-206.7524,6.4434,549.4050
19000,-186.3266,8.0346,546.0311
20000,-110.0125,11.6025,547.8117
21000,340.1242,33.8438,543.9421
22000,321.3814,33.0208,546.0487
23000,-6.6573,16.4023,546.8440
24000,646.1867,48.8737,545.8086
25000,874.4418,60.2096,547.4552
26000,932.7965,63.4852,548.5868
27000,851.9008,59.1419,549.0982
28000,931.7999,63.5577,549.9092
29000,1115.1051,72.6478,551.4251
30000,1267.4265,79.7551,551.1410
31000,1053.9402,68.9974,548.9756
32000,1161.4490,74.3425,550.1254
33000,1228.1260,77.6943,550.3579
34000,1196.8361,76.3170,551.7364
35000,1463.8385,89.2177,549.3590
36000,801.2275,56.8650,550.9012
37000,-324.3509,1.6744,551.8282
38000,287.5131,31.2159,552.4076
39000,-5.1171,15.2088,550.1233
40000,1758.1068,103.4717,551.0856
41000,1299.5047,81.2435,550.3876
42000,1380.0682,85.1197,550.4263
43000,1697.2349,100.5540,550.2811
44000,1322.3701,82.2185,553.0353
45000,1546.1561,93.3466,552.6296
46000,-128.0174,9.8530,551.3446
47000,-226.2444,4.7848,552.3162
48000,1405.0619,86.6554,551.5139
49000,1751.9268,103.5238,552.8891
50000,1582.3156,95.2775,551.7717
51000,1836.1153,107.4146,552.4591
52000,1407.8454,86.6613,550.7584
53000,1603.6264,96.0943,551.8300
54000,1806.3122,106.2709,553.1580
55000,1786.6237,105.1018,550.7982
56000,1859.6617,108.8156,553.4971
57000,1486.5469,90.6163,553.4148
58000,1854.7431,108.4780,553.0467
59000,1806.2474,106.0485,552.9780
60000,1966.0885,114.1360,553.8916
61000,1848.6050,108.1804,553.1127
62000,1628.0442,97.4317,553.0238
63000,2090.4420,120.0156,552.4544
64000,1650.3116,98.4242,551.7825
65000,1767.2589,104.2580,549.8811
66000,1879.8637,109.6885,553.1861
67000,-351.3969,-0.0243,552.3949
68000,-626.1957,-13.4074,552.9648
69000,18.1838,17.9849,554.4745
70000,-185.4292,7.8861,552.6526
71000,-312.1789,0.8054,553.6975
72000,22.4714,17.0342,551.7041
73000,-348.0465,-0.0176,553.4467
74000,-142.7143,9.5583,553.8173
75000,-142.1578,8.6349,554.6268
76000,-157.7549,7.9414,553.5113
77000,-135.2392,9.4217,554.0126
78000,-72.6072,12.2143,554.1790
79000,82.2241,20.2926,552.8472
80000,36.3360,18.2229,554.5797
81000,-106.4342,11.3328,553.5425
82000,-57.0018,13.8937,553.7552
83000,2.1555,16.2875,553.0985
84000,-137.2488,9.6872,554.7659
85000,-146.1424,9.6894,553.9421
86000,-220.1437,6.0515,553.2190
87000,-362.2796,-0.6540,554.1746
88000,-123.7702,10.8160,551.8384
89000,12.4972,17.8641,551.7626
90000,1257.1985,79.3097,551.6690
91000,2033.9329,117.2745,552.3977
92000,1897.4730,110.7006,553.9587
93000,1976.4867,114.7031,554.3980
94000,719.4520,52.7088,552.9060
95000,2067.0475,119.0460,554.7374
96000,2199.6598,125.6555,555.5823
97000,2103.6520,120.8706,553.5808
98000,2130.6897,121.9624,554.3896
99000,2182.7918,124.6102,553.0472
100000,2090.4993,120.3561,555.1894
101000,2272.7058,129.2375,556.1288
102000,2223.0048,126.6713,553.7783
103000,2262.4325,128.4522,553.8546
104000,2286.0338,129.4886,554.6689
105000,2403.1774,135.0845,554.2981
106000,2318.1702,131.0233,555.1450
107000,2375.7331,133.7238,555.2591
108000,2295.8645,129.9346,555.4746
109000,2353.4339,132.6604,553.6284
110000,2348.2891,132.5263,554.0143
111000,2457.5813,137.7433,553.9346
112000,2544.3110,142.0404,556.3238
113000,2467.9093,138.3447,555.3352
114000,2440.4619,137.0314,554.9657
115000,2438.0922,136.9428,555.2539
116000,2058.3547,118.3016,554.3303
117000,2592.2559,144.3825,555.3627
118000,2417.1736,136.0300,554.1918
119000,2629.6708,146.1056,554.3094
120000,2503.7882,140.0466,553.6845
121000,2543.0604,142.0921,555.0309
122000,2578.3405,143.6613,555.3163
123000,2770.9343,153.0647,551.2849
124000,2753.9395,152.3299,554.1725
125000,2714.9959,150.4540,554.1871
126000,2694.8981,149.3665,552.7429
127000,2456.5311,138.1417,554.0164
128000,2660.8628,147.8336,553.5693
129000,2633.2117,146.4455,554.6459
130000,2705.2945,149.9470,554.2174
131000,2777.8765,153.4284,553.1786
132000,2715.7916,150.3151,553.1703
133000,2990.7431,163.8382,553.1763
134000,2739.3010,151.6263,552.9936
135000,2755.0502,152.4111,554.5339
136000,3067.8396,167.6748,555.4059
137000,2641.4760,146.8340,554.9692
138000,2815.5375,155.2536,554.2401
139000,2915.6712,160.3635,554.8395
140000,2828.9928,156.0072,552.7816
141000,2580.5870,143.7433,553.4514
142000,2917.5461,160.4870,554.1612
143000,2870.2922,157.8498,552.5089
144000,2995.0212,164.2765,554.6216
145000,3051.5693,166.9227,554.6620
146000,3258.0121,176.9648,554.1932
147000,3047.2118,166.8334,553.4604
148000,3225.7816,175.4557,554.6246
149000,1455.7627,88.4654,553.6269
150000,3122.4926,170.3731,554.3286
151000,3398.5217,183.7453,553.1278
152000,2972.4790,162.9396,552.9833
153000,2926.6944,160.8937,553.5481
154000,3194.7637,173.8170,555.4705
155000,1820.5288,106.6699,553.3592
156000,1681.8838,99.6935,553.1664
157000,3318.3542,179.7479,554.9647
158000,3184.0970,173.3725,554.9714
159000,3447.8210,186.2718,554.1425
160000,1807.4430,105.7417,553.4269
161000,3385.1552,182.9668,555.5393
162000,2308.9819,130.5038,555.4254
163000,3253.5678,176.6671,552.9877
164000,3473.0062,187.5687,553.9089
165000,3419.8942,184.7363,553.1678
166000,214.7941,27.4321,555.1803
167000,763.2673,54.2724,552.9068
168000,3416.5664,184.6535,554.2274
169000,3477.4201,187.7852,555.4392
170000,3619.3248,194.3964,554.1447
171000,3598.7250,193.4902,556.5888
