timestep,reward,distance,control_cost
1000,-311.2685,-2.0013,509.3486
2000,-253.9674,4.1621,543.6060
3000,-214.8807,6.4192,540.0455
4000,-53.2608,13.7384,530.9674
5000,19.3391,16.5327,518.6796
6000,-190.4425,6.0103,509.5109
7000,-221.1349,4.4269,514.5126
8000,-197.9028,5.6817,515.3435
9000,-217.3967,4.8110,517.2832
10000,-250.6851,3.5139,521.9628
11000,-467.1846,-6.1011,537.5235
12000,-146.4804,9.4824,539.6114
13000,-324.1947,0.9091,540.5336
14000,-83.0473,12.2958,535.3290
15000,-149.1963,9.0266,535.9926
16000,195.1215,26.6300,540.9659
17000,-314.9038,1.4289,540.1259
18000,-152.1375,8.7459,535.8834
19000,-438.2732,-4.9065,540.5079
20000,109.1041,22.2052,541.2478
21000,127.9660,23.0827,541.4754
22000,6.2962,16.8778,537.9953
23000,-40.0193,14.9948,541.0422
24000,281.4514,31.0145,541.4935
25000,-26.0496,15.3918,539.5207
26000,-195.3976,7.3495,544.6536
27000,-172.1112,8.3849,541.6546
28000,-76.7899,12.7508,540.3790
29000,441.5263,39.0522,541.7705
30000,-64.7013,13.4867,539.0792
31000,-56.0566,13.8084,542.8132
32000,381.2730,35.7110,544.0682
33000,294.5366,30.8620,541.5689
34000,118.9824,22.8916,541.8650
35000,-5.1487,17.0834,546.3829
36000,-8.7420,16.9172,545.2154
37000,-174.2798,8.7509,547.8614
38000,518.8609,42.6653,542.5151
39000,299.5473,31.3270,543.6748
40000,-21.0698,15.7908,544.9403
41000,-145.2503,9.6866,545.2230
42000,348.3458,34.1846,549.0698
43000,31.8229,18.2375,544.3923
44000,182.5427,25.7939,546.0134
45000,296.0825,31.1848,547.3578
46000,743.3817,53.9322,548.2548
47000,206.5950,27.1713,547.2373
48000,425.3000,37.9969,546.3741
49000,862.4447,59.5261,548.5641
50000,705.2428,51.8302,547.3590
51000,41.0931,18.9987,546.2500
52000,407.5833,37.5797,549.2999
53000,336.6065,33.8285,549.6739
54000,-131.1101,10.4082,549.1996
55000,1024.5863,67.6756,550.4863
56000,351.3984,34.7940,550.7488
57000,505.9333,42.1120,548.3784
58000,212.7816,26.2001,552.0752
59000,-150.0316,9.6716,549.7638
60000,660.0299,49.9403,552.0496
61000,456.8553,39.6931,547.7038
62000,1082.9746,70.6114,550.5439
63000,131.4198,23.4165,548.3924
64000,140.7666,23.5862,547.5521
65000,1083.3784,70.6074,550.4171
66000,1140.0455,73.0820,550.6617
67000,608.0059,47.1206,551.7772
68000,1200.5551,76.4117,550.4510
69000,108.8703,22.3031,550.8691
70000,629.7496,47.8830,549.8472
71000,971.6343,65.3110,550.9814
72000,1007.3706,66.4662,553.4957
73000,1328.0548,82.5328,549.0728
74000,82.1523,20.4484,550.5477
75000,293.1400,30.9717,550.3984
76000,638.1660,48.1735,549.1792
77000,1527.3629,92.5953,551.7191
78000,282.3403,31.3346,551.8818
79000,1717.0716,101.4198,552.5334
80000,1267.9728,79.1528,551.4951
81000,898.0388,61.0839,551.5537
82000,197.6111,26.6347,552.9213
83000,555.8495,44.0781,552.1763
84000,1596.7881,95.8726,552.3091
85000,1643.9557,98.5240,553.2381
86000,565.8895,45.1320,554.2797
87000,1265.1988,79.5076,551.8035
88000,1135.0999,72.7284,551.7131
89000,927.2899,62.2315,549.9456
90000,1461.0721,89.3241,553.1246
91000,1375.6447,84.9479,550.6466
92000,1811.8840,106.1187,550.7327
93000,379.8425,35.1426,551.0990
94000,735.6001,52.9851,552.6223
95000,1882.4849,109.8337,553.2401
96000,1052.7639,69.2406,551.5299
97000,2113.7352,121.3197,554.9827
98000,1846.7744,107.9026,552.8488
99000,1170.8828,74.6068,553.1979
100000,879.7637,60.0273,551.9219
101000,192.8412,25.8990,552.1550
102000,2333.1595,131.6001,552.4044
103000,1818.7077,106.4469,552.2474
104000,1406.4700,86.0526,552.0165
105000,453.2009,39.2567,553.9625
106000,1617.3480,96.7624,553.4413
107000,1420.2332,86.8311,552.0339
108000,1809.7674,106.0803,553.2894
109000,1309.0486,81.4592,554.1485
110000,1257.9102,79.1009,553.1533
111000,1086.8452,70.6594,553.8758
112000,611.8156,47.3761,553.5700
113000,1057.6143,69.4423,552.7491
114000,1436.2743,87.7319,552.5440
115000,1509.8305,91.2652,552.2484
116000,1303.9155,81.0431,551.2935
117000,770.1957,54.7938,552.1713
118000,444.9916,38.7517,550.8413
119000,1431.5529,87.6449,554.3998
120000,785.1330,55.6553,553.4397
121000,119.5515,22.6433,554.1412
122000,1931.2272,112.0495,552.9677
123000,1952.3289,113.4530,554.4213
124000,1958.6562,113.4719,552.6298
125000,841.4731,58.2833,552.2173
126000,2049.8497,117.9598,553.9820
127000,1909.9778,111.1782,554.0945
128000,211.4017,26.8783,551.2736
129000,1744.8909,102.9185,553.1246
130000,1864.6941,108.6241,554.8970
131000,2260.9393,128.3244,554.8164
132000,497.6924,41.4754,553.3126
133000,1910.0010,111.1728,553.6409
134000,2245.1603,127.7572,553.9067
135000,1629.1449,97.0466,552.9392
136000,2373.2184,133.8631,554.0297
137000,1991.8348,114.8982,553.2910
138000,2204.0499,125.3578,554.0839
139000,960.5073,64.2803,552.4518
140000,2375.4309,133.8645,554.5301
141000,1011.8807,66.7752,553.0001
142000,1334.8113,82.5569,553.1303
143000,1981.7153,114.8104,553.6629
144000,1650.4889,98.5216,554.7047
145000,1620.9384,97.1125,553.9809
146000,746.4560,53.2594,551.6660
147000,708.7261,51.7977,554.3475
148000,2041.6716,117.5823,555.1021
149000,1913.2189,111.3751,554.1214
150000,2150.8477,122.8170,552.7084
151000,2726.5133,151.0283,553.7208
152000,2332.1522,132.1192,554.7842
153000,1546.4052,93.1868,553.7227
154000,1978.2843,114.4648,553.0670
155000,2666.1596,148.2655,554.8353
156000,1104.9659,71.5403,555.1365
157000,1163.2496,74.2302,553.2121
158000,638.1738,48.1801,553.6079
159000,1514.5001,91.7305,555.8568
160000,2138.6433,122.4895,554.8550
161000,3069.0062,167.6833,554.2767
162000,2433.6350,136.9231,553.9872
163000,2521.3581,140.7934,553.5703
164000,2306.6168,130.3604,554.2754
165000,1321.8607,81.8655,553.4212
166000,2079.7296,119.7110,554.1414
167000,2012.4510,116.3136,553.1330
168000,2473.3289,138.9155,554.4000
169000,2438.1994,137.3024,554.2359
170000,2124.5034,121.6071,555.7365
171000,2949.5255,161.9255,555.6965
172000,2486.8484,139.3433,554.7214
173000,2263.1583,128.4268,553.7827
174000,1836.8206,107.3588,555.4410
175000,2151.0014,122.5015,552.4861
176000,2713.0972,150.2836,553.5156
177000,1359.3575,83.6419,555.8935
178000,2742.8805,152.1276,555.2609
179000,2870.0354,158.1079,554.9130
180000,2298.6084,130.2920,553.9429
181000,1459.1651,88.1367,554.4432
182000,723.3688,52.0350,554.5591
183000,2408.2782,135.7798,554.8604
184000,2765.0524,153.2177,555.5020
185000,1913.0969,110.4727,553.9416
186000,2934.1781,161.3285,553.0956
187000,3088.7090,168.9481,554.2795
188000,2824.4091,155.8704,554.2391
189000,1103.2670,70.8779,554.8819
190000,2299.0098,129.9963,554.5207
191000,1185.3668,75.2192,554.0832
192000,1275.4887,79.1465,555.9598
193000,824.4006,56.8376,553.3523
194000,2736.5701,152.0208,554.7492
195000,2610.2293,145.4805,555.4117
196000,831.0227,57.3679,556.1314
197000,2068.5625,118.3167,553.3352
198000,2283.9901,129.1349,553.0364
199000,2686.1539,149.2087,554.8304
200000,2569.3784,143.7457,554.5052
201000,2859.1361,157.9103,556.8140
202000,1968.8428,113.5150,555.3732
203000,3025.5657,165.6686,552.0513
204000,919.0933,61.5533,555.9262
