timestep,reward,distance,control_cost
1000,-245.5103,-13.2751,311.2286
2000,438.6929,0.6417,311.4258
3000,473.3883,-2.3092,315.5871
4000,620.2709,1.5821,315.6414
5000,355.4107,-1.7791,310.0169
6000,294.8609,0.4626,312.8684
7000,501.9238,-2.5423,311.3391
8000,406.1653,-1.7213,315.8667
9000,-235.9209,2.3714,310.9402
10000,109.3581,-3.2256,314.0550
11000,332.4942,-6.3006,315.1943
12000,659.4118,1.3652,309.3951
13000,462.0047,-3.0121,310.1974
14000,243.4272,-0.8353,310.4696
15000,126.0376,-6.4708,314.4101
16000,548.7584,-2.1864,311.2618
17000,4.8714,-4.9436,308.1377
18000,189.6511,-4.0993,309.2275
19000,-170.8573,-1.8224,316.0649
20000,492.1181,1.8293,311.1423
21000,498.5936,-2.7829,310.5089
22000,474.3242,0.3479,308.5610
23000,275.9170,0.3878,310.5541
24000,371.5972,-0.0406,312.8562
25000,587.1684,-0.7862,308.5130
26000,392.5649,-0.0272,313.3970
27000,-600.7320,-14.4226,312.7877
28000,327.7270,-3.5953,307.5025
29000,497.9284,-0.3199,310.8389
30000,140.5163,-3.8111,302.6051
31000,371.8788,-2.9926,309.4351
32000,-97.2989,0.9743,310.8879
33000,-51.1025,0.5179,310.6631
34000,534.6843,0.3318,309.9489
35000,655.2703,0.2131,303.4451
36000,167.8063,-5.2215,311.6869
37000,460.5778,-0.5470,311.4946
38000,500.5480,-4.3049,307.5715
39000,542.9970,-4.7573,311.3604
40000,382.5365,-4.8945,308.7132
41000,457.7083,-1.1565,304.8675
42000,607.1289,-1.3277,306.5978
43000,577.8074,-1.3186,307.6423
44000,700.6439,3.3154,297.6084
45000,435.8786,0.5112,301.1988
46000,433.4566,-2.0037,302.1164
47000,144.2135,5.1782,300.0355
48000,434.6805,-2.3142,308.7907
49000,-131.3837,-2.6168,308.6916
50000,468.9997,-4.0836,303.1203
51000,517.3500,-0.5593,304.5622
52000,661.4807,0.9796,303.1672
53000,455.2485,-0.6613,310.5452
54000,538.2614,-2.8863,308.1513
55000,305.6794,0.4034,301.3611
56000,567.6165,-2.1403,307.9109
57000,611.3093,-0.8082,302.2998
58000,509.4162,-0.8384,314.4405
59000,-187.5032,-1.5199,306.4868
60000,-317.0028,-3.1432,301.4273
61000,610.5287,0.0534,305.8963
62000,411.5507,1.4409,299.6132
63000,201.2156,-3.0974,304.5540
64000,534.9266,-1.2706,303.6740
65000,589.5510,-0.7634,309.2391
66000,310.9025,-3.5824,305.2140
67000,359.1331,6.5543,307.6775
68000,470.9930,-1.5991,301.7035
69000,612.4134,2.3598,302.9802
70000,633.8503,1.5607,306.7607
