timestep,reward,distance,control_cost
1000,517.5886,-1.5282,305.8662
2000,-233.1845,-5.4347,315.5138
3000,-143.9209,1.9629,313.5552
4000,279.5734,-6.8332,312.8556
5000,603.9204,-0.4922,310.6290
6000,516.3417,0.5666,311.8024
7000,441.2256,4.4813,311.3628
8000,499.3032,-2.4241,310.0259
9000,273.1364,-1.6358,305.7394
10000,321.8686,-2.7362,304.1247
11000,-51.8057,-2.6451,310.5392
12000,-228.8904,4.2236,313.6987
13000,578.2090,-0.6228,310.2011
14000,83.1833,-6.7550,309.6126
15000,73.8964,1.3500,308.6378
16000,507.8956,3.5098,311.4544
17000,-289.4714,1.2006,315.4640
18000,545.4495,-0.6032,311.2527
19000,-28.5284,-5.0744,310.9854
20000,406.4413,2.4930,307.2793
21000,93.6154,-7.8201,312.3507
22000,553.0142,-1.1439,308.6879
23000,526.0853,-0.2704,306.7188
24000,596.1289,-0.9385,309.9335
25000,111.2792,-1.6786,312.2699
26000,158.3784,6.2919,310.4617
27000,558.7865,-2.4599,303.0327
28000,526.0068,0.4572,306.5088
29000,265.3277,3.4870,310.5290
30000,339.4578,-2.1786,308.9362
31000,529.2960,-1.3149,309.3832
32000,416.6587,-0.7184,305.5806
33000,10.0950,2.3395,305.9796
34000,527.6992,1.8075,308.8243
35000,603.4438,-1.1658,305.2475
36000,669.9801,1.8485,308.9585
37000,495.5188,-0.4407,305.3913
38000,577.6696,0.0285,305.7293
39000,562.5229,1.8680,310.6084
40000,344.0825,-1.2050,304.4564
41000,649.0999,1.0693,309.0643
42000,658.3108,1.1316,310.4195
43000,682.8941,3.1330,304.5416
44000,457.1618,2.5026,300.8718
45000,544.1052,-0.9242,306.5687
46000,606.0629,4.8304,305.9574
47000,688.8000,2.1980,302.0968
48000,418.9803,1.1502,303.9876
49000,645.3908,1.0031,297.9840
50000,506.3139,0.4474,302.0637
51000,696.5365,3.5489,306.4955
52000,649.9377,1.5941,299.6925
53000,635.1936,1.2557,304.4814
54000,739.4667,5.1848,303.9023
55000,678.2819,1.4121,295.2437
56000,633.1630,3.2048,304.9485
57000,722.9500,4.3679,299.0939
