timestep,reward,distance,control_cost
1000,-477.8080,-8.5064,308.6177
2000,-605.3072,-14.8641,307.4168
3000,-464.0511,-7.8714,305.7444
4000,-335.1848,-0.9519,315.9786
5000,-368.5780,-2.8461,310.6392
6000,-324.0223,-0.4720,312.7213
7000,-321.7386,-0.4190,312.9181
8000,-342.3487,-1.5593,309.6084
9000,-393.6943,-4.5397,302.5545
10000,-421.4906,-5.9864,302.0384
11000,-330.9412,-0.9401,311.3535
12000,-446.9873,-7.1977,304.2458
13000,-346.9865,-2.2459,302.9871
14000,-314.9070,-0.3199,307.8719
15000,-285.8681,0.9262,303.6694
16000,-332.8021,-1.3148,307.1718
17000,-300.1521,0.2329,303.5380
18000,-224.6069,3.9444,302.7100
19000,-324.8759,-0.8872,305.6490
20000,-332.8353,-1.5809,302.0144
21000,-368.9486,-3.1292,307.5438
22000,-384.3194,-3.9915,305.5793
23000,-338.0692,-1.8482,301.7035
24000,-250.8540,2.8694,307.7606
25000,-242.4025,2.9693,302.9311
26000,-215.9367,4.1841,300.6501
27000,-296.9775,0.0722,298.2475
28000,-352.3906,-2.5400,301.7476
29000,-299.2663,0.1077,299.8122
30000,-365.3017,-3.1513,300.7344
31000,-292.6850,0.4989,301.5863
32000,-289.3363,0.4743,298.1599
33000,-193.7600,5.2235,297.9622
34000,-281.5190,0.8745,300.7390
35000,-316.2250,-0.6102,303.1256
36000,-230.6546,3.6032,301.7694
37000,-329.1574,-1.5859,299.2729
38000,-265.3527,1.6264,299.7008
39000,-301.5928,-0.1149,299.4781
40000,-303.4342,-0.2170,299.2772
41000,-408.7301,-5.6535,296.2667
42000,-216.6480,3.9469,294.6231
43000,-259.9217,2.1179,300.8928
44000,-262.7572,1.5688,294.0244
45000,-145.5343,7.3652,293.8691
46000,-226.7773,3.5494,296.3895
47000,-385.6738,-4.2942,298.4859
48000,-193.4353,5.0191,294.6078
49000,-212.4559,4.1044,294.8810
50000,-270.7721,1.0603,293.7789
51000,-288.9578,0.4415,297.1441
52000,-168.3607,6.0631,290.0321
53000,-225.4289,3.3192,290.4013
54000,-197.7020,4.6944,293.5334
55000,-139.5309,7.7327,294.3053
56000,-244.5710,2.3802,291.4240
57000,-154.4126,6.7935,289.3065
58000,-189.1071,5.0826,291.3482
59000,-148.0800,7.2991,295.2801
60000,-259.9081,1.9071,298.6026
61000,-212.1162,4.3454,300.9670
62000,-243.2899,2.6647,297.4331
63000,-258.4919,1.5390,288.6845
64000,-196.8298,5.3284,304.5680
65000,-218.3773,3.9294,297.7084
66000,-224.8263,3.4026,293.8984
67000,-112.2968,9.6394,303.1149
68000,-275.7946,1.1296,299.4821
69000,-203.3266,4.7221,298.1852
70000,-164.3233,6.8968,302.8702
71000,-196.7461,5.0217,298.2912
72000,-88.6283,10.7253,304.4601
73000,-77.3422,11.4675,304.8963
74000,-169.4009,6.7055,305.2125
75000,-167.5977,6.7586,302.8557
76000,-175.4566,6.6781,307.3290
77000,-80.2313,11.0900,301.9801
78000,-131.3405,8.5597,300.6386
79000,-164.0630,7.2569,309.3335
80000,-61.1922,12.0532,303.1141
81000,-29.2409,13.9331,306.8725
82000,-157.8822,7.5183,306.4884
83000,-141.5304,7.9278,299.0942
84000,-128.8413,9.1223,311.0817
85000,-16.4082,14.9767,315.6550
86000,-17.8483,14.4888,308.4013
87000,16.9720,16.3593,308.9907
88000,3.5467,15.7693,310.9899
89000,10.0071,15.5375,302.4857
