timestep,reward,distance,control_cost
1000,-282.1238,1.5813,312.9099
2000,-407.8629,-4.8660,310.7055
3000,-387.8754,-4.0513,306.6111
4000,-294.8602,0.6737,309.9235
5000,-382.9256,-3.6113,310.7912
6000,-373.5907,-3.0916,309.8629
7000,-211.3151,4.8817,310.4011
8000,-308.2324,-0.1719,304.5556
9000,-270.7040,1.7840,306.9047
10000,-374.2594,-3.1648,311.8112
11000,-359.1655,-2.4769,308.6071
12000,-224.7964,4.0790,306.4552
13000,-298.5522,0.3969,306.2561
14000,-311.1958,-0.2554,305.9745
15000,-341.9245,-1.6906,307.7941
16000,-317.1162,-0.9452,298.5967
17000,-401.3066,-4.7968,306.4184
18000,-354.6515,-1.9007,315.1899
19000,-338.0450,-1.8234,303.1382
20000,-336.3221,-1.3643,308.8051
21000,-309.8315,0.0907,310.9910
22000,-229.1997,3.7733,306.6143
23000,-327.9396,-1.0500,305.8140
24000,-362.8435,-3.3225,298.1367
25000,-310.0070,-0.1696,307.4636
26000,-357.0073,-2.2236,313.6013
27000,-264.4118,1.9706,304.5433
28000,-173.7519,6.8552,309.3371
29000,-231.1049,3.4846,300.5182
30000,-314.3249,-0.4200,306.5751
31000,-338.4163,-1.8080,304.1037
32000,-245.3070,2.8839,303.8776
33000,-219.7519,4.4640,308.0104
34000,-193.7141,5.3470,302.2504
35000,-225.6169,4.2768,309.8022
36000,-188.0181,5.7210,301.9628
37000,-316.1135,-0.4774,307.8943
38000,-274.4474,1.5536,304.5698
39000,-200.2560,4.8228,297.4549
40000,-293.2769,0.4352,302.2114
41000,-285.1770,1.0506,305.1331
42000,-265.4711,1.5942,298.1389
43000,-257.3264,2.2373,300.5488
44000,-275.0815,1.4871,305.3373
45000,-299.6161,0.3057,305.1572
46000,-227.1209,3.5936,299.4185
47000,-175.8306,6.4176,303.7959
48000,-212.4920,4.4473,299.7084
49000,-180.1539,6.0371,300.9275
50000,-152.5381,7.1241,294.4040
51000,-113.1947,9.0814,294.6636
52000,-176.7549,5.9884,296.5119
53000,-233.9744,3.4323,303.4873
54000,-168.4231,6.6092,301.0313
55000,-193.7947,4.9310,294.3268
56000,-159.1620,6.9709,299.9021
57000,-78.3995,11.1845,302.4081
58000,-287.2465,0.6862,301.3527
59000,-221.0723,4.1740,305.6796
