timestep,reward,distance,control_cost
1000,16.9948,-4.5604,313.3830
2000,67.3451,-4.6885,306.9892
3000,325.3465,0.5281,309.6378
4000,414.6145,5.0972,307.4371
5000,90.2658,-0.9562,303.8736
6000,368.4294,-1.8618,307.2047
7000,215.8409,-4.7836,312.2028
8000,183.6612,-6.3827,307.0375
9000,296.8530,0.8856,299.7178
10000,58.9219,-6.1363,309.6080
11000,246.1815,7.0261,304.1301
12000,362.0755,-2.2662,306.6776
13000,326.4037,-1.7219,304.5081
14000,327.9744,-1.5317,305.3971
15000,318.1522,4.9785,302.9219
16000,261.5929,-5.4052,303.3308
17000,296.0506,-1.6293,301.4996
18000,339.8964,-2.6307,306.0849
19000,259.5926,-5.4116,309.5985
20000,209.3724,-0.3717,304.7573
21000,262.9255,3.4192,302.1632
22000,386.1406,-0.5039,304.6353
23000,137.4662,-2.3717,307.7236
24000,309.0687,-0.0089,304.0205
25000,433.2911,2.1553,303.5644
26000,286.2136,5.1937,302.7212
27000,406.9402,-0.2555,304.0107
28000,267.4134,0.7523,302.1810
29000,338.2861,-1.4495,299.6649
30000,280.4050,0.7289,305.2063
31000,337.3633,-2.7215,308.3101
32000,381.7910,-0.8660,299.7015
33000,368.4688,3.1166,299.5604
34000,403.6063,1.2795,301.9217
35000,291.1698,-2.7740,302.2755
36000,389.3102,-0.1172,301.8121
37000,374.0403,-0.1228,301.7466
38000,411.8400,0.3313,299.2960
39000,452.5225,4.3460,301.6925
40000,356.0481,-0.2746,299.4732
41000,297.8576,-3.2235,293.2819
42000,265.6353,-0.7397,299.6575
43000,198.5601,0.4196,299.9506
44000,436.7456,2.3989,300.8060
45000,298.8051,-5.3245,292.6995
46000,340.6500,1.5951,301.7082
47000,474.4081,4.4327,300.2564
48000,291.3683,0.5643,298.8555
49000,427.1091,2.1599,299.5246
50000,392.7094,2.7792,297.9347
51000,437.7250,2.8824,299.1323
52000,398.4849,-0.9286,298.3723
53000,220.2316,6.0010,299.1518
54000,442.2664,5.7765,296.9632
55000,468.1528,9.4971,296.2221
56000,439.5258,1.8092,297.7595
57000,535.8080,6.0129,300.2805
58000,371.4641,2.9972,298.5835
59000,432.1436,1.0516,299.7128
60000,545.0734,6.6378,292.0379
61000,510.4170,4.1255,295.2904
62000,452.5128,3.5148,295.3963
63000,435.0159,4.6524,290.7563
64000,484.7102,5.2864,292.4965
65000,380.3293,3.9419,297.1508
66000,482.2417,5.1972,290.4278
67000,379.8354,3.2896,294.1659
68000,436.1665,4.0679,292.3878
69000,594.2138,9.2524,302.3061
70000,538.0501,5.8859,297.0732
71000,529.5855,6.3444,295.4143
72000,587.8472,7.7539,290.2878
73000,600.1752,8.6036,288.8006
74000,582.6478,7.8180,294.7505
75000,586.3085,8.5057,292.7946
76000,501.4368,4.9717,295.2626
77000,621.5438,10.5815,293.4991
78000,498.9191,6.4301,289.8156
79000,564.8316,7.1390,287.5849
80000,631.5087,11.2825,292.8307
81000,450.0524,6.6360,288.1389
82000,655.7614,11.6961,294.5260
83000,685.6999,12.6274,291.6584
84000,646.2241,11.0393,291.5707
85000,577.6746,8.6628,294.8887
86000,450.6280,5.9772,289.5562
87000,373.3783,2.6823,291.3514
88000,597.4007,8.6715,290.1101
89000,436.1626,2.3588,289.0632
90000,607.9443,9.4938,289.5825
91000,430.7888,7.7769,285.5701
92000,633.0840,10.3137,286.0258
93000,574.5469,8.8804,289.9298
94000,638.7481,10.6970,283.6073
95000,425.9855,3.7988,291.1806
96000,684.0760,13.6593,291.1756
97000,661.6992,12.0673,293.8899
98000,684.1378,13.4020,288.6622
99000,686.4644,13.0749,294.5264
100000,454.6099,5.8747,285.1492
101000,616.4160,10.9409,289.7800
102000,717.1311,14.9766,291.4285
103000,797.0902,18.1090,287.7377
104000,610.7792,11.4893,292.1579
105000,646.7811,13.4898,292.8897
106000,740.8151,16.3483,293.7661
107000,678.6201,14.1603,290.8030
108000,760.4309,16.7334,290.5467
109000,739.6245,16.6554,288.7153
110000,808.2756,18.9201,284.9421
111000,917.3681,24.8400,294.4393
112000,786.0386,19.2801,287.8394
113000,627.1835,13.5739,294.7206
114000,848.5280,20.4266,287.0256
115000,605.3857,12.5600,283.5143
116000,814.4533,19.6367,294.0702
117000,637.4430,13.5397,290.5547
118000,859.8995,21.4670,288.4609
119000,401.6469,7.6189,290.7920
120000,820.8981,20.7698,293.0498
121000,720.5920,17.7770,293.4670
122000,832.1744,21.1693,290.0781
123000,817.7413,19.5731,289.3163
124000,547.4118,15.2286,292.6527
125000,847.6508,21.1736,295.0158
126000,858.9948,24.1958,296.2417
127000,764.4056,18.8584,293.7276
128000,908.1824,24.5665,292.8411
129000,849.1901,22.9749,305.0452
130000,886.6281,23.5391,299.5098
131000,903.1912,24.3202,299.5258
132000,802.1094,20.9658,299.4707
133000,657.3262,17.8866,296.3800
134000,917.1744,26.5599,298.1336
135000,954.5654,26.8570,295.9256
136000,933.3840,26.3579,298.7820
137000,910.6325,26.3495,295.8270
138000,987.9860,28.5314,299.2222
139000,303.1489,14.1102,309.1053
