timestep,reward,distance,control_cost
1000,365.8326,-0.6734,314.1181
2000,315.7132,-1.7772,308.3459
3000,325.3121,0.3396,311.2183
4000,415.6890,1.4819,306.3163
5000,154.7948,1.3383,309.8168
6000,226.6481,-6.6798,303.3104
7000,321.9043,-1.1141,307.3100
8000,149.6428,2.0274,308.7798
9000,354.4963,-2.2299,309.6206
10000,365.2152,-1.4392,308.3512
11000,421.5189,0.8858,302.6910
12000,328.3811,-3.3901,302.6987
13000,283.5012,-5.7747,305.2983
14000,223.7471,-0.2041,297.8929
15000,-164.2034,-15.3729,307.7869
16000,155.5465,-5.3418,297.9229
17000,176.4647,-2.2532,303.4243
18000,273.3210,-2.0306,304.7216
19000,380.2688,0.5840,303.4957
20000,239.9526,-0.4164,303.1675
21000,366.1525,-1.8421,306.7545
22000,224.3037,-2.1103,305.5010
23000,343.9031,-1.5594,304.5930
24000,473.4315,7.2794,302.2186
25000,316.8483,-1.1922,306.4831
26000,84.0015,-3.1108,304.9203
27000,313.9660,-0.9652,306.6972
28000,381.3800,-1.2579,301.6758
29000,434.4993,3.2343,307.5696
30000,443.4166,4.8021,304.6508
31000,194.8235,-0.3462,303.9907
32000,401.3732,2.8853,301.1411
33000,473.8624,3.6392,299.4878
34000,352.0205,0.0331,298.7652
35000,393.0931,3.8764,298.7029
36000,389.8764,1.1467,298.9924
37000,444.9537,2.5567,302.7665
38000,428.4088,5.7719,294.2228
39000,436.9802,1.3985,302.9589
40000,432.6756,0.7510,302.7061
41000,493.2958,3.7288,296.5669
42000,323.9492,0.6800,297.7552
43000,-14.7767,-4.4279,298.8774
44000,477.1783,4.5443,290.8267
45000,454.1577,3.9706,303.6080
46000,417.6036,0.4592,298.9625
47000,425.7746,1.4097,292.6662
48000,405.2949,1.0759,296.1762
49000,499.2428,4.0490,296.3011
50000,476.6717,4.3492,299.7854
51000,506.0309,4.5655,292.6462
52000,113.3788,-5.2291,291.8689
53000,350.3259,-1.1320,289.7617
54000,430.1770,3.3880,290.0277
55000,375.9326,-0.0239,287.3180
56000,412.0089,2.1382,293.5074
57000,565.3123,7.0730,286.7936
58000,481.3494,3.1906,290.6098
59000,470.7285,3.8492,291.3567
60000,592.4326,8.4568,286.3475
61000,510.5709,4.6553,291.7286
