timestep,reward,distance,control_cost
1000,-162.1399,-2.4270,312.6650
2000,-73.4592,2.3638,312.7240
3000,-225.7466,-5.7142,306.4331
4000,-143.2607,-1.7041,309.9305
5000,-80.5824,1.2126,304.7812
6000,-110.5320,0.1394,309.4154
7000,-218.2656,-5.2195,307.7108
8000,-185.0557,-3.4115,308.4173
9000,-295.3717,-8.8875,314.0277
10000,-150.1239,-1.8192,310.1612
11000,-129.1834,-0.9973,308.5530
12000,-243.2003,-6.2248,309.1745
13000,56.2409,8.2233,310.6084
14000,-199.4923,-4.5421,302.0977
15000,-89.6795,1.7150,317.3023
16000,-103.9161,0.1711,302.0248
17000,-183.3267,-3.2240,313.5256
18000,-127.4671,-0.9078,304.8960
19000,-215.3936,-5.0705,303.9540
20000,-198.3077,-4.5174,303.2948
21000,-64.7238,2.1849,308.2074
22000,-86.7990,1.3006,309.2319
23000,-172.6074,-3.1572,307.4676
24000,-202.3862,-4.5737,306.8708
25000,-159.5835,-1.8919,313.9820
26000,-13.0319,5.0883,311.9656
27000,-52.7458,2.7681,306.4110
28000,-143.4831,-1.5875,309.2385
29000,-158.1553,-2.4217,305.4624
30000,-174.8986,-3.1072,305.6382
31000,-164.9124,-2.2480,308.5217
32000,-198.3977,-4.2172,308.8700
33000,-170.0976,-2.8268,306.9969
34000,-128.7696,-0.9061,304.5980
35000,-162.3555,-2.5844,305.5777
36000,-89.6854,0.8254,303.5870
37000,-107.4529,-0.1001,300.0884
38000,-128.1751,-0.8229,305.8555
39000,-209.6041,-4.7033,305.3687
40000,-202.1227,-4.6058,305.8354
41000,-164.8987,-3.0489,301.3815
42000,-129.6874,-1.1241,304.2411
43000,-120.4348,-1.0813,296.4545
44000,-43.7367,2.7872,300.5430
45000,-111.2683,-0.2922,304.6181
46000,-282.4160,-8.5917,299.0310
47000,-262.9952,-7.6315,298.2894
48000,-197.4324,-4.6913,297.3792
49000,-194.2285,-4.1151,303.9829
50000,-96.2348,0.4024,301.8573
51000,-147.0445,-2.0885,303.3547
52000,9.7287,5.1573,296.1637
53000,-111.7359,-0.7484,296.7004
54000,-94.8090,0.7041,305.9950
55000,-16.7135,4.3764,302.2304
56000,11.8551,5.3959,301.3456
57000,-65.9920,2.0034,301.8571
58000,-148.2250,-2.2106,301.0632
59000,-108.1797,-0.1891,302.7361
60000,-102.1704,-0.0396,305.6036
61000,-57.3395,2.1738,303.2303
62000,-179.2139,-3.6936,298.1084
63000,69.3612,8.1561,295.8130
64000,-124.2806,-1.2570,304.3612
65000,-55.2604,2.0279,301.8371
66000,-83.4744,0.8138,300.3456
67000,-179.7925,-3.8662,299.3208
68000,-88.3521,0.3760,299.2317
69000,-161.4169,-3.0705,298.3245
70000,-70.3882,1.3730,302.7146
71000,-121.0297,-1.1477,301.2765
72000,-95.9027,-0.0934,299.3289
73000,-85.5591,0.4052,300.5118
74000,70.7115,7.6438,294.4496
75000,-32.9967,2.9659,298.6670
76000,-82.6955,0.8996,308.5506
77000,-21.7671,3.3608,298.0827
78000,-117.3621,-1.1895,295.7277
79000,-201.8373,-5.1853,292.9134
80000,-64.7560,1.3504,299.5602
81000,-64.5835,1.0306,295.1726
82000,-84.3392,0.3879,304.4788
83000,-19.8917,3.3141,297.4357
84000,-34.7887,2.7907,298.5349
85000,-90.1453,-0.2538,297.8173
86000,-0.6363,4.2282,299.2414
87000,-104.9281,-0.9086,297.1629
88000,-4.8082,3.8118,293.8419
