timestep,reward,distance,control_cost
1000,-500.2682,0.4801,511.8261
2000,-545.7890,0.3304,553.7202
3000,-662.0506,-5.4848,550.7640
4000,-565.9615,-0.9632,547.8083
5000,-420.1681,5.7135,534.4457
6000,-357.0632,8.6596,529.1678
7000,-102.9892,21.0549,523.9189
8000,-232.4721,14.3136,517.5311
9000,103.1282,31.4097,527.0078
10000,150.4955,33.9736,529.5392
11000,109.9718,32.0608,531.2083
12000,200.9796,36.6228,532.1065
13000,227.8226,38.0778,534.4290
14000,99.3702,31.9052,536.9046
15000,181.8720,35.9295,537.1495
16000,-390.0470,7.5925,543.0673
17000,-529.0058,1.0632,550.0901
18000,75.0566,30.7012,539.6740
19000,277.6137,40.9492,543.3642
20000,282.6155,41.3337,543.6186
21000,234.1328,38.8771,541.6279
22000,170.5940,35.6736,542.9107
23000,122.8825,33.3697,544.8113
24000,-732.6599,-9.3394,547.6123
25000,-619.7441,-3.5873,546.8751
26000,-404.3862,6.8671,543.0470
27000,-419.3057,6.3256,547.1750
28000,-549.0664,0.0992,549.1813
29000,-39.8950,25.1173,540.4619
30000,-464.1695,4.1095,547.5682
31000,-61.5816,24.1808,545.0346
32000,434.5790,49.1455,547.2071
33000,499.9737,52.4943,548.4847
34000,449.6251,49.7142,546.2519
35000,346.9120,44.7791,548.0675
36000,631.6865,58.9267,548.3406
37000,683.5549,61.7281,551.2268
38000,1438.8713,99.5977,551.4443
39000,1256.9064,90.3313,550.4056
40000,1275.2698,91.3584,551.4203
41000,1856.7720,120.5470,552.8349
42000,1818.7440,118.5649,554.1553
43000,1948.7777,125.1384,554.1241
44000,2011.8633,128.2645,552.9729
45000,1818.9536,118.5823,553.8782
46000,1886.6847,122.0579,553.6823
47000,1861.5954,120.8197,552.8486
48000,1909.5414,123.1886,553.4988
49000,2066.1454,131.0511,554.0464
50000,1859.5229,120.6200,551.8258
51000,1713.7101,113.3669,551.6788
52000,1706.4140,112.9688,553.4395
53000,2142.3721,134.6549,552.7078
54000,1189.5989,87.0749,552.0096
55000,1677.4354,111.4907,551.9336
56000,1849.1459,120.1351,552.6918
57000,1629.1776,109.0019,552.4650
58000,2333.6476,144.3153,553.8238
59000,2028.8477,129.2201,554.0175
60000,1878.8885,121.7780,554.8105
61000,1996.3975,127.4438,553.2321
62000,241.3306,39.4948,547.8625
63000,2033.4486,129.3782,553.0193
64000,256.1158,40.1398,547.6187
65000,2187.0396,137.0795,554.4673
66000,1191.6571,87.1563,552.1730
67000,1384.8663,96.8403,550.5341
68000,1785.6450,116.9360,552.5437
69000,2047.6344,129.9987,552.8418
70000,1886.3497,121.8706,552.6302
71000,2307.8169,143.1064,553.1399
72000,2004.4322,127.8530,554.2219
73000,613.3813,58.3714,553.1173
74000,972.1110,76.0656,549.9576
75000,2066.6985,130.9770,554.1641
76000,2286.0293,142.0402,552.8371
77000,2136.6989,134.5151,554.6458
78000,1933.3294,124.3781,555.4134
79000,1993.9373,127.3932,554.5919
80000,2132.9722,134.2841,554.2784
81000,2272.6182,141.3374,554.3750
82000,2019.7440,128.7068,554.7918
83000,1869.6094,121.0927,553.9386
84000,2057.7495,130.4927,553.7303
85000,1863.6679,120.8444,552.9609
86000,2235.9369,139.5324,553.9770
87000,2069.9553,131.0948,552.7335
88000,2201.5580,137.8503,553.9006
89000,2092.8603,132.4101,553.6815
90000,2313.7581,143.3560,554.2484
91000,2207.0979,137.9048,552.6509
92000,2145.2150,135.0391,553.9018
93000,2221.6964,138.7501,553.1928
94000,2215.6074,138.3626,552.7941
95000,2163.6410,135.9311,553.0818
96000,1991.4875,127.2970,553.8518
97000,2122.2035,133.8344,552.6894
98000,2222.0242,138.8756,554.4329
99000,2325.6254,144.0398,554.9560
100000,2179.1015,136.6389,555.1540
101000,643.8677,59.7822,552.7461
102000,2252.0649,140.1913,553.0695
103000,965.9398,75.8675,552.0530
104000,2178.7221,136.7674,554.9801
105000,2313.4330,143.4717,554.5386
106000,2289.1591,142.1593,553.4121
107000,2282.0494,141.7350,553.9213
108000,2144.4234,134.9825,554.4058
109000,2420.9933,148.7560,553.4535
110000,2443.2499,149.8667,552.7351
111000,2293.9076,142.4543,554.7498
112000,2435.6666,149.5375,553.7591
113000,2364.4171,145.9207,552.7278
114000,2508.1783,153.2009,554.8211
115000,2413.5340,148.4219,553.7548
116000,2567.6487,155.9830,552.9333
117000,2520.2501,153.7390,554.2698
118000,2668.4727,161.1792,553.2696
119000,2614.7088,158.3549,553.3042
120000,2440.3260,149.7428,553.9126
121000,2587.7542,157.1484,553.6386
122000,2653.8779,160.3485,555.0651
123000,2178.1268,136.5080,553.6183
124000,2583.0769,156.8563,554.9860
125000,2619.3758,158.6646,554.4274
126000,2768.2532,166.2594,555.2831
127000,2443.9556,149.9513,554.7909
128000,2442.7387,149.7869,553.1210
129000,2619.4867,158.6206,554.7993
130000,2724.6334,163.9013,553.5497
131000,2606.3163,158.1071,553.8859
132000,2298.9619,142.5331,553.1079
133000,2350.9120,145.2203,552.4589
134000,2396.9703,147.5079,554.5482
135000,2350.0206,145.2879,554.3061
136000,2485.4183,151.9670,554.8416
137000,2882.2107,171.7676,553.6174
138000,2474.1583,151.4288,553.3127
139000,2764.1444,165.8572,553.6816
140000,2531.2777,154.3193,554.6372
141000,2822.0048,168.7081,552.9795
142000,2668.4831,161.1421,553.8100
143000,2635.6226,159.6401,555.8264
144000,2874.4602,171.5458,554.7864
145000,2267.2191,141.1396,553.8624
146000,2557.6127,155.4836,552.8876
147000,2678.5968,161.5899,554.3468
148000,2586.9355,157.1339,554.4542
149000,2685.3389,161.8575,553.4044
150000,2777.0306,166.5859,554.3415
151000,2571.5322,156.3103,553.8396
152000,2804.9141,168.0142,554.6094
153000,2695.4068,162.4708,554.1539
154000,2537.1520,154.5585,555.2671
155000,2855.2084,170.5370,556.3336
156000,2689.8490,162.2357,553.6767
157000,2751.7575,165.1944,552.1903
158000,2690.1756,162.2711,554.7103
159000,2820.6408,168.6830,554.6840
160000,2529.9918,154.1316,553.2447
161000,2658.3687,160.5553,553.5158
162000,2653.1503,160.4491,555.0463
163000,2763.9141,165.7763,552.8371
164000,2878.4413,171.6255,554.8914
165000,2869.0990,171.1564,554.3676
166000,2724.4349,163.9511,553.9261
167000,-5.7050,27.4557,553.4097
168000,2721.4246,163.8520,555.2800
169000,2906.7167,173.0214,554.9317
170000,2349.1465,145.0895,554.0148
171000,2784.5821,166.9942,554.2538
172000,2711.0794,163.2929,554.4255
173000,2767.9684,166.0235,553.6318
174000,2769.9251,166.1668,553.9913
175000,2896.3621,172.4556,552.6534
176000,2621.7783,158.6906,553.9128
177000,2929.7870,174.2560,554.3246
178000,2972.2716,176.3064,554.1601
179000,2882.3571,171.9005,554.8099
180000,2540.8013,154.8718,555.7743
181000,2939.5388,174.7650,556.7948
182000,2839.3789,169.5851,554.0344
183000,2703.1065,162.9227,554.7220
184000,2924.9764,174.0118,555.3817
185000,2805.8865,168.0392,554.5513
186000,3019.2651,178.7381,554.2271
187000,2662.5233,160.9728,555.6745
188000,2862.7981,170.7607,553.9984
189000,2990.8266,177.2168,554.1675
190000,2800.1148,167.7143,554.5792
191000,2845.0086,169.9796,555.0350
192000,2935.6105,174.5036,555.3630
193000,2942.4260,174.8021,554.3943
194000,3003.4968,177.8954,553.6778
195000,1760.3545,115.6711,554.6552
196000,2952.3456,175.2652,554.7946
197000,2840.8523,169.8060,554.6782
198000,3138.7641,184.6309,553.6455
199000,3007.4944,178.1602,554.3264
200000,2771.0262,166.2320,553.8124
201000,2954.5706,175.4538,554.2431
202000,2974.8322,176.5608,554.6177
203000,2908.6717,173.1225,555.6992
204000,2853.5951,170.2254,552.5447
205000,2917.5404,173.6976,555.0282
206000,3098.5490,182.6880,553.3354
207000,2975.1347,176.5744,554.5927
208000,2708.0614,163.1031,554.3952
209000,2996.4858,177.4700,553.5997
210000,2996.5136,177.4878,554.5097
211000,3107.4688,183.1975,554.5343
212000,3096.5315,182.5211,555.0622
213000,2861.3778,170.8070,553.6211
214000,3004.3525,177.8878,552.5219
215000,2958.6437,175.5593,554.2980
216000,3021.3260,178.6636,553.2956
217000,3142.3141,184.8664,554.3136
218000,3256.0252,190.4131,553.1006
219000,3130.2335,184.3318,554.8242
220000,3253.8164,190.4928,555.0068
221000,1861.1906,120.9117,555.0586
222000,2250.2681,140.3062,554.6474
223000,3100.0060,182.6519,553.5706
224000,3276.9545,191.6703,555.9137
225000,3109.1266,183.1652,554.4291
226000,3223.1470,188.7198,552.9592
227000,3179.5187,186.6350,553.9307
228000,3148.9648,185.1193,554.8903
229000,3147.7035,185.0432,555.1399
230000,3491.8367,202.3477,554.9037
231000,3241.7017,189.6985,553.6715
232000,3561.8057,205.6924,553.3055
233000,3277.7712,191.7494,555.6315
234000,3349.1693,195.2242,554.0826
235000,3138.1472,184.6251,555.9202
236000,3211.5224,188.2124,552.7736
237000,3503.8152,203.0071,555.1575
238000,3143.5854,184.8976,555.0618
239000,3267.6857,191.2153,554.8903
240000,3448.3712,200.2587,555.6982
241000,3292.3996,192.3182,554.5547
242000,3278.2959,191.6256,554.0506
243000,3062.7129,180.8899,553.9426
244000,3261.7702,190.8599,554.5395
245000,3244.5258,189.9089,553.7894
246000,3459.9828,200.6337,554.4907
247000,3289.1477,192.2459,554.4916
248000,3520.9690,203.7963,553.8601
249000,3377.8305,196.6728,553.6942
250000,1865.3299,120.9150,553.8787
251000,3576.3702,206.5313,553.8725
252000,3355.4193,195.4136,553.8173
253000,3613.0581,208.2578,552.1185
254000,3337.5883,194.5731,553.1325
255000,3411.2354,198.2200,554.6721
256000,3465.4481,200.9644,554.3360
257000,3402.3885,197.8824,554.4960
258000,3353.9069,195.3690,553.3997
259000,3417.4070,198.6120,556.5304
260000,3584.3784,207.0128,554.6128
261000,3611.4482,208.1923,553.9261
262000,3492.6699,202.4624,555.5936
263000,3683.9244,211.9390,553.9735
264000,3167.0056,185.9882,552.3901
265000,3701.5189,212.7911,552.7522
266000,3709.1684,213.1829,554.4105
267000,3520.2554,203.7735,553.2357
268000,3541.9979,204.7785,553.6828
269000,1690.6056,112.1121,552.8882
270000,-81.5511,23.6395,553.8027
271000,586.9781,56.9826,553.4498
272000,3581.4232,206.6465,552.2039
273000,3481.0319,201.7414,553.1503
274000,-33.1839,25.9387,552.1410
275000,3688.5563,212.0335,553.6965
276000,3673.1808,211.3558,551.9618
277000,3695.3622,212.4366,554.9532
278000,3974.6968,226.1740,550.4907
279000,3756.7353,215.3854,552.9116
280000,2229.2082,139.0907,554.0348
281000,3775.5264,216.4125,552.2765
282000,521.0375,53.7867,555.1339
283000,3689.8068,212.1655,552.2298
284000,3765.1910,215.9395,552.2901
285000,3849.6385,220.0753,551.4653
286000,3788.6953,217.1149,552.1348
287000,3941.3769,224.6377,552.2216
288000,3986.8110,226.9364,550.5132
289000,3988.6023,226.9878,551.2468
290000,3777.5922,216.4110,551.1574
291000,3517.4861,203.5707,553.0442
292000,3804.1515,217.7802,552.8207
293000,3893.6319,222.3236,553.0512
294000,3873.5464,221.2073,551.1126
295000,3926.6637,223.9570,551.0128
296000,3835.4048,219.3343,552.2040
297000,3958.9031,225.5392,552.9214
298000,3642.3522,209.5913,550.1119
299000,3848.7382,219.9690,551.3688
300000,-467.7263,4.2174,552.8404
301000,3747.2625,214.7885,549.0988
302000,3926.0909,223.7016,549.3514
303000,4014.2769,228.1203,549.6617
304000,3727.3732,213.8473,551.1262
305000,3758.5741,215.3464,549.6493
306000,3985.4266,226.7339,550.3094
307000,3784.4705,216.7792,549.8268
308000,4188.8670,237.0150,549.4354
309000,3919.3830,223.4698,550.1526
310000,4035.1648,229.1776,549.2334
311000,3985.5974,226.6988,550.0180
312000,4027.0496,228.9022,551.5585
313000,4271.7534,241.0785,550.5552
314000,3996.6031,227.5186,552.4729
315000,4173.7513,236.3204,550.6866
316000,3981.9918,226.6508,549.9048
317000,4338.7611,244.3143,548.5751
318000,3910.8522,223.2045,551.8238
319000,4080.0667,231.3707,548.5615
320000,4204.6881,237.6338,548.7438
321000,4244.0608,239.7451,551.3960
322000,4144.8229,234.7885,549.8600
323000,4235.0092,239.1666,550.0154
324000,3607.1917,208.0409,553.1999
325000,3923.4136,223.7147,549.9125
326000,-421.9428,6.7318,555.6904
327000,4189.4642,236.8971,549.7612
328000,4152.4508,235.1150,550.2942
329000,4007.8465,228.0043,550.7241
330000,4053.6469,230.0610,549.0717
331000,3886.0252,221.8344,549.9394
332000,4298.4330,242.3318,548.5842
333000,3940.7955,224.5751,549.9346
334000,4105.8708,232.7266,549.1010
335000,3713.6003,213.2009,551.2583
336000,4161.5363,235.5808,551.6220
337000,4088.9586,231.9056,549.2805
338000,4271.6634,241.0303,549.9708
339000,3978.5694,226.3059,549.4626
340000,4195.7586,237.2365,549.0852
341000,4321.0273,243.4874,549.8434
342000,4308.9916,242.9599,549.8203
343000,4286.3644,241.6945,548.7411
344000,4090.2360,232.0891,550.5482
345000,4355.2159,245.2757,549.4274
346000,4175.4831,236.4686,552.3861
347000,4022.1793,228.4933,549.4681
348000,4089.4106,232.0684,550.3792
349000,4280.2190,241.4817,549.8080
350000,4398.3518,247.2993,548.7779
351000,4348.9861,245.0293,550.0127
352000,4048.4633,230.0519,550.7078
353000,4416.0027,248.3281,550.9138
354000,3991.1795,227.0516,550.3740
355000,4338.4744,244.4049,548.6783
356000,4263.9211,240.7420,550.8770
357000,4141.2375,234.5086,547.4559
358000,4290.9548,242.0847,549.3936
359000,4450.7242,250.0681,548.8405
360000,4218.2556,238.4062,549.4187
361000,4269.4753,241.1209,552.0646
362000,4399.7159,247.5189,549.1813
363000,4182.4174,236.5056,548.7986
364000,4079.7953,231.5097,549.0074
365000,4212.8565,238.1968,549.8375
366000,4141.7726,234.6840,550.3159
367000,4352.6290,245.1958,549.5906
368000,4288.8327,241.8570,548.5003
369000,4327.4731,243.8977,548.9445
370000,4216.7301,238.3898,551.3991
371000,4218.3144,238.3582,549.7911
372000,97.5523,32.5505,555.1453
373000,4092.1570,232.0381,549.6045
374000,4267.8412,240.9564,550.1321
375000,4495.1525,252.2491,550.0437
376000,4135.2214,234.1471,549.4801
377000,1221.3274,88.6767,552.6638
378000,4101.3913,232.6239,550.9770
379000,4266.2363,240.8259,550.3382
380000,4213.3469,237.9987,548.3103
381000,4502.7767,252.6358,549.1333
382000,4533.2133,254.0407,547.0518
383000,4228.4831,238.9851,549.3257
384000,4416.5403,248.2387,547.7042
385000,4445.5321,249.7023,548.6942
386000,4182.4518,236.7320,550.3479
387000,4549.8441,254.8597,549.0111
388000,4393.0958,247.0818,547.9136
389000,4419.4226,248.4453,548.0443
390000,4397.2736,247.2911,547.5980
391000,4231.7178,239.0728,549.5853
392000,4445.4155,249.6616,548.9011
393000,4463.3917,250.5390,549.3091
394000,4128.1253,233.8490,548.4501
395000,4267.5967,240.7859,549.3624
396000,4440.1925,249.5537,549.6625
397000,4279.3436,241.4389,547.7934
398000,4237.8818,239.3413,549.8955
399000,4279.3023,241.4186,547.8227
400000,4490.8668,252.0703,548.6792
401000,4487.3351,251.8948,548.7900
402000,4437.3725,249.2511,548.5377
403000,2005.1506,127.7882,549.6166
404000,4346.7031,244.9065,550.8332
405000,4258.9034,240.3605,549.3426
406000,4588.0664,256.7352,547.1821
407000,4462.4089,250.4768,548.8340
408000,4511.3410,253.0589,548.8477
409000,4316.1071,243.2348,546.6394
410000,4286.4527,241.7398,548.9023
411000,4446.5609,249.7709,547.3909
412000,4630.6626,259.0179,549.5807
413000,4334.4779,244.2309,550.1705
414000,4620.6510,258.2613,545.7504
415000,4515.4040,253.2282,548.0393
416000,4506.2802,252.6900,547.6972
417000,4461.9091,250.4160,547.1032
418000,4538.5824,254.3807,548.6745
419000,4294.4385,242.1024,548.0013
420000,4314.8487,243.0444,547.8465
421000,4304.5764,242.6279,547.5903
422000,4547.7462,254.6670,547.3616
423000,4528.7121,253.8374,546.1616
424000,4496.3350,252.3342,549.2802
425000,4694.7838,262.0620,547.9967
426000,4380.0994,246.3238,546.7225
427000,4595.5577,257.1499,548.3054
428000,4763.8791,265.5431,547.8336
429000,4413.4445,248.0607,548.3263
430000,4216.9325,238.1996,548.1499
431000,4647.0931,259.7318,545.8776
432000,4755.8319,265.1399,548.3992
433000,4736.9617,264.1745,547.3999
434000,4421.2684,248.3966,547.7434
435000,4553.7095,255.0863,546.9885
436000,4365.0846,245.6545,547.6824
437000,4477.8652,251.2775,546.8209
438000,4440.8709,249.3498,546.8723
439000,4417.6227,248.3239,547.3748
440000,4553.3999,255.0186,547.0707
441000,4244.9778,239.7727,548.8633
