timestep,reward,distance,control_cost
1000,-167.4218,-2.8187,306.1029
2000,-183.2427,-3.6528,303.2852
3000,-181.4709,-3.5763,303.8479
4000,-152.9990,-1.9264,309.5976
5000,-63.4887,2.0430,302.8477
6000,-386.1579,-13.3806,306.8648
7000,6.0278,5.5153,307.7182
8000,-254.2119,-6.6148,309.0997
9000,-183.2662,-3.6711,306.8905
10000,-116.7603,-0.1970,307.1218
11000,-161.0696,-2.4638,305.7836
12000,-163.3940,-2.3750,310.9705
13000,-118.1694,-0.4117,305.9760
14000,-142.9402,-1.4764,308.8539
15000,-71.7546,1.9753,308.8222
16000,-243.9586,-6.5592,305.2417
17000,-225.5409,-5.7547,302.9009
18000,-96.8963,0.9986,311.9960
19000,-129.1991,-0.8674,306.5801
20000,-118.9215,-0.5158,306.8762
21000,-198.6878,-4.4506,304.9792
22000,-166.5144,-2.6344,308.2513
23000,-113.8735,-0.3675,303.5296
24000,-161.5880,-2.9208,301.2320
25000,-144.0632,-1.7369,307.9794
26000,-125.1588,-0.9754,305.3103
27000,-36.3071,3.2334,305.2849
28000,-166.0784,-3.0446,301.7246
29000,-182.3395,-3.7622,304.3934
30000,-81.8678,0.9585,303.2638
31000,-120.9203,-0.7882,305.8391
32000,-151.5727,-1.7702,308.4658
33000,-123.4761,-0.6327,307.7747
34000,-106.5863,-0.0175,303.7932
35000,-22.2092,3.9713,302.0707
36000,-76.6379,1.3223,302.5107
37000,-82.8788,1.2264,307.2769
38000,-184.2094,-3.9101,304.1501
39000,-79.5942,1.1899,299.5919
40000,-65.8745,1.9432,304.9062
41000,-23.9957,4.0276,305.8473
42000,43.5170,7.0043,300.9976
43000,-50.5495,2.7760,303.2277
44000,-51.5024,2.2346,296.9346
45000,-121.5010,-0.6934,304.1525
46000,-86.4883,0.9294,304.6765
47000,-91.6499,0.3942,300.9602
48000,1.2530,5.5253,309.5762
49000,-132.7970,-1.2099,302.2798
50000,-62.7692,2.1742,304.5708
51000,-107.9765,-0.1179,304.1054
52000,-79.7846,1.1468,301.5518
53000,-1.9496,4.9880,303.5509
54000,-12.1492,4.3317,297.1430
55000,-40.2387,3.2599,303.1562
56000,48.9179,7.6999,307.5657
57000,-17.9647,4.0834,303.0841
58000,7.2678,5.3105,301.8868
59000,-76.1596,1.2514,301.1862
60000,-12.9845,4.1171,300.6812
61000,21.8609,6.0386,300.9771
62000,-54.2031,2.0776,296.8473
63000,-88.4009,0.5068,299.5226
64000,-46.1057,2.6965,296.4237
65000,-33.8035,2.8592,298.5889
66000,-46.0157,2.4399,297.0108
67000,0.9337,4.8698,295.4678
68000,4.7800,4.9792,296.0523
69000,-3.5998,4.2602,295.3326
